Loading network for case 'demoVerbundnetz_SimulationNeu' from data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus...
Loading VICUS file: data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus
Parsed Simultaneity Spline: 63 points.
data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus
Found peak day: day 24 (hours 552-575) with peak=7400.0000
Force-selected profile: Residential_SingleFamily_HeatingLoad.tsv (peak day extraction, resampled to 96 steps)
Peak day profile plot saved to output/peak_day_profile.png
Created 692 consumers and 1594 relevant optimization edges.

--- Starting Optimization using Scheme 'v4' for demoVerbundnetz_SimulationNeu ---
Initial weighted error (using v4): 1580050.223118
Regularization target: 1.0000
  Iter 0: Obj=1580050.223118 (Fit: 1580050.223118, Reg: 0.000000) | LR: 0.000001
  Iter 200: Obj=21015.878089 (Fit: 21013.525456, Reg: 2.352633) | LR: 0.000046
  Iter 400: Obj=19769.469696 (Fit: 19766.800418, Reg: 2.669278) | LR: 0.000048
  Iter 600: Obj=19635.021952 (Fit: 19632.273872, Reg: 2.748081) | LR: 0.000049
  Iter 800: Obj=19582.853111 (Fit: 19580.059860, Reg: 2.793251) | LR: 0.000049
  Iter 1000: Obj=19564.499450 (Fit: 19561.683059, Reg: 2.816391) | LR: 0.000049
  Iter 1200: Obj=19556.749596 (Fit: 19553.919986, Reg: 2.829610) | LR: 0.000049
  Iter 1400: Obj=19551.603843 (Fit: 19548.763473, Reg: 2.840370) | LR: 0.000049
  Iter 1600: Obj=19548.285739 (Fit: 19545.438066, Reg: 2.847672) | LR: 0.000049
  Iter 1800: Obj=19546.035561 (Fit: 19543.182275, Reg: 2.853285) | LR: 0.000049
Final Error: 19544.263470

================================================================================
OPTIMIZATION RESULTS
================================================================================

OPTIMIZED EDGES (n_consumers > 1): 816 edges
--------------------------------------------------------------------------------
Edge ID              | n_e   | Target g(n)  | Achieved g   | Deviation 
--------------------------------------------------------------------------------
5266->5289           | 692   | 0.4759       | 0.5253       | 0.0495    
5289->5290           | 692   | 0.4759       | 0.5253       | 0.0495    
5290->7114           | 692   | 0.4759       | 0.5253       | 0.0495    
7114->5291           | 680   | 0.4759       | 0.5091       | 0.0332    
5291->5292           | 680   | 0.4759       | 0.5091       | 0.0332    
5292->7137           | 680   | 0.4759       | 0.5091       | 0.0332    
7137->7117           | 677   | 0.4759       | 0.5108       | 0.0349    
7117->5293           | 670   | 0.4759       | 0.5038       | 0.0279    
5293->5302           | 670   | 0.4759       | 0.5038       | 0.0279    
5302->4858           | 669   | 0.4759       | 0.5047       | 0.0288    
4858->5791           | 669   | 0.4759       | 0.5047       | 0.0288    
5791->5652           | 668   | 0.4759       | 0.5049       | 0.0290    
5652->5457           | 667   | 0.4759       | 0.5051       | 0.0292    
5457->4859           | 666   | 0.4759       | 0.5053       | 0.0294    
4859->4860           | 666   | 0.4759       | 0.5053       | 0.0294    
4860->4861           | 666   | 0.4759       | 0.5053       | 0.0294    
4861->5328           | 665   | 0.4759       | 0.5056       | 0.0298    
5328->4862           | 664   | 0.4759       | 0.5059       | 0.0300    
4862->5514           | 664   | 0.4759       | 0.5059       | 0.0300    
5514->5672           | 663   | 0.4759       | 0.5061       | 0.0302    
5672->4863           | 662   | 0.4759       | 0.5064       | 0.0305    
4863->5772           | 661   | 0.4759       | 0.5066       | 0.0308    
5772->6109           | 660   | 0.4759       | 0.5069       | 0.0310    
6109->6241           | 659   | 0.4759       | 0.5072       | 0.0313    
6241->4864           | 658   | 0.4759       | 0.5074       | 0.0315    
4864->6234           | 658   | 0.4759       | 0.5074       | 0.0315    
6234->5581           | 657   | 0.4759       | 0.5077       | 0.0318    
5581->6188           | 656   | 0.4759       | 0.5080       | 0.0321    
6188->6316           | 655   | 0.4759       | 0.5083       | 0.0325    
6316->5603           | 654   | 0.4759       | 0.5086       | 0.0328    
