Loading network for case 'demoVerbundnetz_SimulationNeu' from data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus...
Loading VICUS file: data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus
Parsed Simultaneity Spline: 63 points.
data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus
Found peak day: day 24 (hours 552-575) with peak=7400.0000
Force-selected profile: Residential_SingleFamily_HeatingLoad.tsv (peak day extraction, resampled to 96 steps)
Peak day profile plot saved to output/peak_day_profile.png
Created 692 consumers and 1594 relevant optimization edges.

--- Starting Optimization using Scheme 'v3' for demoVerbundnetz_SimulationNeu ---
Initial weighted error (using v3): 6159758.763098
Regularization target: 1.0000
  Iter 0: Obj=6159758.763098 (Fit: 6159758.763098, Reg: 0.000000) | LR: 0.000000
  Iter 200: Obj=12301.247718 (Fit: 12298.841001, Reg: 2.406718) | LR: 0.000038
  Iter 400: Obj=11422.462765 (Fit: 11419.782906, Reg: 2.679859) | LR: 0.000039
  Iter 600: Obj=10549.145482 (Fit: 10546.369508, Reg: 2.775974) | LR: 0.000166
  Iter 800: Obj=11003.698576 (Fit: 11000.863244, Reg: 2.835332) | LR: 0.000046
  Iter 1000: Obj=10419.984850 (Fit: 10417.116684, Reg: 2.868166) | LR: 0.000169
  Iter 1200: Obj=21698.754287 (Fit: 21695.928320, Reg: 2.825967) | LR: 0.000009
  Early stopping at iteration 1357
Final Error: 10395.277981

================================================================================
OPTIMIZATION RESULTS
================================================================================

OPTIMIZED EDGES (n_consumers > 1): 816 edges
--------------------------------------------------------------------------------
Edge ID              | n_e   | Target g(n)  | Achieved g   | Deviation 
--------------------------------------------------------------------------------
5266->5289           | 692   | 0.4759       | 0.4874       | 0.0116    
5289->5290           | 692   | 0.4759       | 0.4874       | 0.0116    
5290->7114           | 692   | 0.4759       | 0.4874       | 0.0116    
7114->5291           | 680   | 0.4759       | 0.4797       | 0.0039    
5291->5292           | 680   | 0.4759       | 0.4797       | 0.0039    
5292->7137           | 680   | 0.4759       | 0.4797       | 0.0039    
7137->7117           | 677   | 0.4759       | 0.4877       | 0.0118    
7117->5293           | 670   | 0.4759       | 0.4866       | 0.0107    
5293->5302           | 670   | 0.4759       | 0.4866       | 0.0107    
5302->4858           | 669   | 0.4759       | 0.4874       | 0.0116    
4858->5791           | 669   | 0.4759       | 0.4874       | 0.0116    
5791->5652           | 668   | 0.4759       | 0.4876       | 0.0117    
5652->5457           | 667   | 0.4759       | 0.4878       | 0.0119    
5457->4859           | 666   | 0.4759       | 0.4880       | 0.0121    
4859->4860           | 666   | 0.4759       | 0.4880       | 0.0121    
4860->4861           | 666   | 0.4759       | 0.4880       | 0.0121    
4861->5328           | 665   | 0.4759       | 0.4883       | 0.0124    
5328->4862           | 664   | 0.4759       | 0.4885       | 0.0127    
4862->5514           | 664   | 0.4759       | 0.4885       | 0.0127    
5514->5672           | 663   | 0.4759       | 0.4888       | 0.0129    
5672->4863           | 662   | 0.4759       | 0.4890       | 0.0131    
4863->5772           | 661   | 0.4759       | 0.4893       | 0.0134    
5772->6109           | 660   | 0.4759       | 0.4895       | 0.0137    
6109->6241           | 659   | 0.4759       | 0.4898       | 0.0139    
6241->4864           | 658   | 0.4759       | 0.4900       | 0.0141    
